+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   Problem ID | LLM    | Prompt Type      | Gen 1                                                                               | Gen 2                                                                               | Gen 3                                                                               |   Pass@1 |   Pass@3 | RawResults                                                                                                                                                                                                                                                                                                                                                                                                                             |
+==============+========+==================+=====================================================================================+=====================================================================================+=====================================================================================+==========+==========+========================================================================================================================================================================================================================================================================================================================================================================================================================================+
|            1 | LLaMa  | Chain of Thought | def has_close_elements(numbers: List[float], threshold: float) -> bool:             | def has_close_elements(numbers: List[float], threshold: float) -> bool:             | def has_close_elements(numbers: List[float], threshold: float) -> bool:             |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 2})]                                                                                                         |
|              |        |                  |     """C...                                                                         |     for ...                                                                         |     """                                                                             |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | ...                                                                                 |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            2 | LLaMa  | Chain of Thought | from typing import List                                                             | from typing import List                                                             | from typing import List                                                             |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 2})]                                                                                                                  |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     | def separate_paren_groups(paren_string: str) -> List[st...                          |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def separate_paren_groups(paren_string: str) -> List[s...                           |                                                                                     | def separate_paren_groups(paren_string: str) -> List[s...                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            3 | LLaMa  | Chain of Thought | def truncate_number(number: float) -> float:                                        | def truncate_number(number: float) -> float:                                        | import math                                                                         |    66.67 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 7)', 'completion_id': 0}), (1, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                                         |
|              |        |                  |     integer_part = int(number)                                                      |     """                                                                             | from typing import Optional                                                         |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     ...                                                                             |     Given a positive floati...                                                      |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | def truncate_number(number: float) -> ...                                           |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            4 | LLaMa  | Chain of Thought | from typing import List                                                             | from typing import List                                                             | def below_zero(operations: List[int]) -> bool:                                      |    33.33 |      100 | [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': 'failed: unexpected indent (<string>, line 1)', 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 2})]                                                                                                                            |
|              |        |                  |                                                                                     |                                                                                     |     balance = 0                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     | def below_zero(operations: List[int]) -> bool:                                      |     for operation...                                                                |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  | def below_zero(operations: List[int]) -> bool:                                      |     """                                                                             |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |     """...                                                                          | ...                                                                                 |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            5 | LLaMa  | Chain of Thought | def mean_absolute_deviation(numbers: List[float]) -> float:                         | def mean_absolute_deviation(numbers: List[float]) -> float:                         | from typing import List                                                             |    33.33 |      100 | [(0, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 2})]                                                                                                                                      |
|              |        |                  |     if len(numbers) ...                                                             |     # First, calcula...                                                             | from typing import List                                                             |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     |                                                                                     |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|              |        |                  |                                                                                     |                                                                                     | def mean_absolute_deviation(nu...                                                   |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+--------------+--------+------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|            6 | LLaMa  | Chain of Thought | def intersperse(numbers: List[int], delimeter: int) -> List[int]:                   | def intersperse(numbers: List[int], delimeter: int) -> List[int]:                   | def intersperse(numbers: List[int], delimeter: int) -> List[int]:                   |     0    |        0 | [(0, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 0}), (1, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 1}), (2, {'task_id': 0, 'passed': False, 'result': "failed: name 'List' is not defined", 'completion_id': 2})]                                                                                                         |
|              |        |                  |     result = [...                                                                   |     result = [...                                                                   |     if not num...                                                                   |          |          |                                                                                                                                                                                                                                                                                                                                                                                                                                        |
